an    安    an bình, an ổn
khố    庫    kho, xa khố, kim khố
khốc    酷    tàn khốc
khối    塊    đống
khốn    困    khốn cùng
khống    控    khống chế
khổ    苦    khổ cực, cùng khổ
khổng    孔    lỗ hổng
khởi    起    khởi động, khởi sự, khởi nghĩa
khủng    恐    khủng bố, khủng hoảng
khứ    去    quá khứ, trừ khử
kiêm    兼    kiêm nhiệm
kiểm    検    kiểm tra
kiệm    倹    tiết kiệm
kiệt    傑    tuấn kiệt, hào kiệt
kình    鯨    cá voi, kình ngạc
kĩ    技    kĩ thuật, kĩ nghệ
kết    結    đoàn kết, kết thúc
lai    来    đến, tương lai, vị lai
lan    欄    lan can
lao    労    lao động, lao lực, công lao
liêm    廉    thanh liêm
loan    湾    vịnh
loại    類    chủng loại
loạn    乱    phản loạn, chiến loạn
luyến    恋    lưu luyến, luyến ái
luận    論    lí luận, ngôn luận, thảo luận
luật    律    luật pháp
lân    隣    lân bang, lân cận
lãm    覧    triển lãm
lão    老    già, lão luyện
lôi    雷    thiên lôi
lõa    裸    khỏa thân
lăng    陵    lăng tẩm
lưỡng    両    hai, lưỡng quốc
lượng    量    lực lượng, độ lượng, dung lượng, trọng lượng
lạm    濫    làm quá, lạm dụng
lập    立    thiết lập, tự lập
lậu    漏    lộ
lễ    礼    lễ nghi, lễ nghĩa
lệnh    令    mệnh lệnh, pháp lệnh
lợi    利    phúc lợi, lợi ích
lực    力    sức lực
mao    毛    lông
miểu    秒    giây
muội    妹    em gái
mâu    矛    mâu thuẫn
mã    馬    ngựa
mãi    買    mua, khuyến mãi
mãn    満    thỏa mãn, bất mãn, mãn nguyện
mê    迷    mê hoặc, mê đắm
mô    模    mô phỏng, mô hình
môi    媒    môi giới
môn    門    cửa, nhập môn, môn đồ, bộ môn
mĩ    美    mĩ nhân, mĩ lệ
mỹ    美    mĩ nhân, mĩ lệ
mưu    謀    âm mưu
mại    売    thương mại
mẫn    敏    mẫn cảm
mật    密    bí mật, mật độ
mễ    米    gạo
mệnh    命    tính mạng, cách mạng, vận mệnh, mệnh lệnh
mị    魅    mị lực, mộng mị
mỗi    毎    mỗi
mộc    木    cây, gỗ
mộng    夢    mơ
mực    墨    mực tàu
mức    墨    mức độ
nan    難    khó, nan giải, nguy nan; tai nạn
nghiêm    厳    tôn nghiêm, nghiêm khắc, nghiêm trọng
nghiên    研    mài, nghiên cứu
nghiệm    験    thí nghiệm, hiệu nghiệm, kinh nghiệm
nghiệp    業    nghề nghiệp, công nghiệp, sự nghiệp
nghênh    迎    hoan nghênh, nghênh tiếp
nghĩa    義    ý nghĩa, nghĩa lí, đạo nghĩa
nghề    芸    nghề nghiệp
nghệ    芸    nghệ thuật, nghệ nhân
nghị    議    nghị luận, nghị sự
nghịch    逆    phản nghịch
ngoại    外    ngoài, ngoại thành, ngoại đạo
nguy    危    nguy hiểm, nguy cơ
nguyện    願    tự nguyện, tình nguyện
nguyệt    月    mặt trăng, tháng, nguyệt san, nguyệt thực
ngành    梗    ngành
ngân    銀    ngân hàng, ngân lượng, kim ngân
ngôn    言    ngôn ngữ, ngôn luận, phát ngôn
ngũ    五    5
ngưng    凝    ngưng kết, ngưng tụ
ngưu    牛    con trâu
ngưỡng    仰    ngưỡng mộ
ngạch    額    trán, giá tiền, hạn ngạch, kim ngạch
ngạn    岸    hải ngạn
ngạnh    硬    cứng, ngang ngạnh
ngẫu    偶    ngẫu nhiên
ngọ    午    chính ngọ
ngọc    玉    ngọc
ngục    獄    cai ngục, ngục tù
ngụy    偽    ngụy trang, ngụy tạo
ngữ    語    ngôn ngữ, từ ngữ
ngự    御    ngự uyển
nhi    児    nhi đồng, hài nhi
nhiếp    摂    nhiếp chính, nhiếp thủ
nhiễm    染    ô nhiễm
nhiệm    任    trách nhiệm, nhiệm vụ
nhiệt    熱    nhiệt độ, nhiệt tình
nhuyễn    軟    mềm, nhu nhuyễn
nhuận    潤    lợi nhuận, nhuận tràng
nhuệ    鋭    tinh nhuệ
nhàn    閑    an nhàn, nhàn rỗi
nhã    雅    tao nhã
nhãn    眼    nhãn khoa
nhĩ    耳    tai
nhũ    乳    nhũ mẫu
nhũng    冗    
như    如    như thế
nhược    弱    nhược điểm, nhược tiểu
nhượng    譲    nhượng bộ
nhạc    楽    an lạc, lạc thú, âm nhạc
nhẫn    忍    tàn nhẫn, nhẫn nại
nhập    入    nhập cảnh, nhập môn, nhập viện
nhật    日    mặt trời, ngày, nhật thực, nhật báo
nhục    辱    sỉ nhục
ni    尼    ni cô
ninh    寧    an ninh
niêm    粘    niêm mạc
niên    年    năm, niên đại
niệm    念    ý niệm, tưởng niệm
niệu    尿    niệu đạo
nô    奴    nô lệ, nô dịch
nông    農    nông nghiệp, nông thôn, nông dân
năng    能    năng lực, tài năng
nại    耐    nhẫn nại
nạn    難    khó, nan giải, nguy nan; tai nạn
nạp    納    nộp
nồng    濃    nồng độ
nỗ    努    nỗ lực
nộ    怒    thịnh nộ
nội    内    nội thành, nội bộ
nữ    女    phụ nữ
phiêu    漂    phiêu lưu
phiếu    票    lá phiếu, đầu phiếu
phiền    煩    phiền muộn
phiệt    閥    tài phiệt
phá    破    phá hoại, tàn phá
phách    拍    vỗ tay
phái    派    trường phái
pháo    砲    khẩu pháo
pháp    法    pháp luật, phương pháp
phì    肥    phì nhiêu
phường    坊    phường
phả    譜    phổ nhạc, gia phả
phẩm    品    sản phẩm
phẫn    憤    phẫn uất
phẫu    剖    phẫu thuật, giải phẫu
phật    仏    phật giáo
phó    副    phó, phó phòng
phóng    放    phóng sinh
phố    舗    phố xá
phối    配    phân phối, chi phối, phối ngẫu
phồn    繁    phồn vinh
phụng    奉    phụng dưỡng, cung phụng
phủ    府    phủ
phức    複    phức tạp
quang    光    ánh sáng, nhật quang, quang minh
quyết    決    quyết định
quyền    権    chính quyền, quyền uy, quyền lợi
quá    過    thông qua; quá khứ, quá độ
quái    怪    kì quái, quái vật
quản    管    ống, mao quản, quản lí
quảng    広    quảng trường, quảng đại
quận    郡    quận
quốc    国    nước, quốc gia, quốc ca
quỷ    鬼    ma quỷ
quỹ    軌    quỹ đạo
sai    差    sai khác, sai biệt
sam    杉    cây sam
si    痴    ngu si
siêu    超    siêu việt, siêu thị, siêu nhân
soái    帥    tướng soái
sung    充    sung túc, bổ sung
suy    衰    suy thoái
suất    率    thống suất, xác suất, tỉ lệ suất
sùng    崇    tôn sùng, sùng bái
súng    銃    khấu súng
sưu    捜    sưu tầm, sưu tập
sương    霜    sương mù
sản    産    sản xuất, sinh sản, cộng sản
sảnh    庁    đại sảnh
sầu    愁    buồn bã, sầu muộn
số    数    số lượng
sự    事    sự việc
tam    三    3
thai    胎    bào thai
thao    操    thao tác
thiêu    焼    thiêu đốt
thiền    禅    thiền tọa
thiển    浅    thiển cận
thiểu    少    thiếu niên; thiểu số
thiệu    紹    giới thiệu
thiệt    貼    thiệt hại, thiệt mạng
thoái    退    triệt thoái, thoái lui
thoát    脱    giải thoát
thoại    話    nói chuyện, đối thoại, giai thoại
thuyết    説    tiểu thuyết, học thuyết, lí thuyết
thuyền    船    thuyền
thuấn    瞬    trong nháy mắt
thuần    純    đơn thuần, thuần khiết
thuẫn    盾    mâu thuẫn
thuận    順    tòng thuận, thuận tự
thuế    税    thuế vụ
thuộc    属    phụ thuộc
thám    探    do thám, thám hiểm
thán    嘆    ca thán, cảm thán
thánh    聖    thánh ca
tháp    塔    tòa tháp
thâm    深    thâm sâu, thâm hậu
thâu    輸    thâu nhập, thâu xuất
thê    妻    thê tử
thí    試    thí nghiệm, thí điểm
thô    粗    thô ráp
thôn    村    thôn xã, thôn làng
thông    通    thông qua, thông hành, phổ thông
thưởng    賞    giải thưởng, tưởng thưởng
thạch    石    đá, thạch anh, bảo thạch
thảm    惨    thảm thương, thảm sát
thấu    透    thẩm thấu
thẩm    審    thẩm tra, thẩm phán, thẩm định
thậm    甚    thậm chí
thắng    勝    thắng lợi, thắng cảnh
thặng    剰    thặng dư
thỉnh    請    thỉnh cầu, thỉnh nguyện
thịnh    盛    thịnh vượng, hưng thịnh
thọ    寿    trường thọ, tổi thọ
thỏa    妥    thỏa hiệp
thời    時    thời gian
thụy    睡    ngủ, thụy miên
thự    署    biệt thự
tiếp    接    nối tiếp, tiếp đãi, tiếp xúc
tiết    節    tiết mục
tiềm    潜    tiềm ẩn, tiềm thức
tiểu    小    nhỏ, ít
tiễn    践    thực tiễn
tiệm    漸    dần dần, tiệm cận
tiện    便    thuận tiện
toái    砕    phá vỡ
toán    算    tính toán, kế toán, toán học
toại    遂    toại nguyện
tra    査    điều tra
tri    知    tri thức, tri giác
triết    哲    triết học
triển    展    triển khai, phát triển, triển lãm
truy    追    truy lùng, truy nã, truy cầu
truyền    伝    truyền đạt, truyền động; tự truyện
truyện    傳    truyện
trà    茶    trà
tràng    腸    ruột
trác    卓    trác việt
trách    責    khiển trách, trách cứ, trách nhiệm
tráng    壮    cường tráng
trân    珍    trân trọng, trân quý
trú    住    cư trú; trụ sở
trưng    徴    đặc trưng, tượng trưng
trưởng    長    trường giang, sở trường; hiệu trưởng
trượng    丈    trượng
trạng    状    tình trạng, trạng thái, cáo trạng
trầm    沈    trầm mặc
trẫm    朕    trẫm (nhân xưng của vua)
trận    陣    trận mạc
trật    秩    trật tự
trệ    滞    đình trệ
trợ    助    hộ trợ, trợ giúp, viện trợ, cứu trợ
trụ    住    cư trú; trụ sở
trụy    墜    rơi, trụy lạc
trứ    著    trứ danh, trứ tác
trừ    除    trừ khử, trừ bỏ, loại trừ, phép chia
trừu    抽    trừu tượng
trữ    貯    tàng trữ, lưu trữ
trực    直    trực tiếp, chính trực
tu    修    tu sửa, tu chính, tu luyện
tuyên    宣    tuyên bố, tuyên cáo
tuyến    線    dây, tiền tuyến, điện tuyến, vô tuyến
tuyết    雪    tuyết
tuyền    泉    suối
tuyển    選    tuyển chọn
tuyệt    絶    đoạn tuyệt, tuyệt diệu
tuân    遵    tuân theo, tuân phục
tuấn    俊    tuấn kiệt, anh tuấn
tuẫn    殉    chết vì đạo, tuẫn tiết
tuế    歳    tuổi, năm, tuế nguyệt
tuệ    穂    tai
tàn    残    tàn dư, tàn tích, tàn đảng
tàng    蔵    bảo tàng, tàng trữ, tàng hình
tác    作    tác phẩm, công tác, canh tác
tâm    心    tâm lí, nội tâm
tây    西    phương tây
tín    信    uy tín, tín thác, thư tín
tù    囚    tù nhân
tùy    随    tùy tùng
tú    秀    ưu tú, tuấn tú
tĩnh    静    bình tĩnh, trấn tĩnh
tưởng    想    tư tưởng, tưởng tượng
tượng    象    hiện tượng, khí tượng, hình tượng
tại    在    tồn tại, thực tại
tạm    暫    tạm thời
tạng    臓    nội tạng
tạo    造    chế tạo, sáng tạo
tạp    雑    tạp chí, tạp kĩ
tải    載    đăng tải
tản    散    phấn tán, tản mát
tấn    迅    nhanh chóng, thông tấn
tấu    奏    diễn tấu
tầm    尋    sưu tầm, tầm nã
tần    頻    tần số, tần suất
tầng    層    hạ tầng, thượng tầng
tận    尽    tận lực
tật    疾    tật bệnh
tặc    賊    trộm cướp, đạo tặc
tặng    贈    hiến tặng
tề    斉    nhất tề
tể    宰    chúa tể, tể tướng
tễ    剤    dịch tễ
tọa    座    chỗ ngồi, tọa đàm, tọa độ
tỏa    鎖    xích, bế tỏa, tỏa cảng
tố    訴    tố cáo, tố tụng
tốc    速    tốc độ, tăng tốc
tống    送    tiễn, tống tiễn, tống đạt
tốt    卒    tốt nghiệp
tồn    存    tồn tại, bảo tồn, ôn tồn
tổn    損    tổn hại, tổn thương
tổng    総    tổng số, tổng cộng
tộc    族    gia tộc, dân tộc, chủng tộc
tội    罪    tội phạm, tội ác
tỉnh    省    tỉnh lược, phản tỉnh, hồi tỉnh
tụng    訟    tố tụng
tủy    髄    xương tủy
tửu    酒    rượu
tựu    就    thành tựu
u    幽    tối tăm, u tối
uy    威    uy nghi, uy nghiêm
vinh    栄    vinh quang, vinh hạnh
viêm    炎    lửa lớn
viễn    遠    viễn phương, vĩnh viễn
việt    越    vượt qua, việt vị
vì    為    hành vi; vị kỉ
vân    雲    mây
vãn    晩    buổi tối
vãng    往    vãng lai, dĩ vãng
vô    無    hư vô, vô ý nghĩa
võng    網    mạng lưới
vĩnh    永    vĩnh viễn, vỉnh cửu
vương    王    vương giả
vượng    旺    thịnh vượng 
vạn    万    vạn, nhiều, vạn vật
vấn    問    vấn đáp, chất vấn, vấn đề
vật    物    động vật
vệ    衛    bảo vệ, vệ tinh, vệ sinh
vực    域    khu vực, lĩnh vực
xuân    春    mùa xuân, thanh xuân
xuất    出    xuất hiện, xuất phát
xâm    侵    xâm lược
xã    社    xã hội, công xã, hợp tác xã
xí    企    xí nghiệp, xí hoạch
xúy    吹    thổi, cổ xúy
xưng    称    xưng tên, danh xưng
xướng    唱    đề xướng
xạ    射    xạ thủ
xả    捨    vứt
xảo    巧    tinh xảo
xứ    処    cư xử, xử trí, xử lí; nơi chỗ
ác    悪    hung ác, độc ác; tăng ố
ách    厄    tai ách
ái    愛    yêu, ái tình, ái mộ
ám    暗    ám sát
án    案    luận án, đề án
ánh    映    phản ánh
ân    恩    ân huệ
âu    欧    châu âu
ích    益    lợi ích, hữu ích
ôn    温    ôn hòa, ôn tồn
ông    翁    ông già
ý    意    ý nghĩa, ý thức, ý kiến, chú ý
đa    多    đa số
đan    丹    màu đỏ
đang    当    chính đáng; đương thời, tương đương
đao    刀    cái đao
điểm    点    điểm số, điểm hỏa
điển    典    cổ điển, điển tích
điểu    鳥    chim chóc
đoàn    団    đoàn kết, đoàn đội
đoạt    奪    chiếm đoạt
đoản    短    đoản mệnh, sở đoản
đô    都    đô thị, đô thành
đơn    単    cô đơn, đơn độc, đơn chiếc
đương    当    chính đáng; đương thời, tương đương
đạm    淡    đạm bạc
đạp    踏    dẫm lên
đạt    達    đạt tới, điều đạt, thành đạt
đả    打    đả kích, ẩu đả
đản    誕    sinh ra
đảng    党    đảng phái
đấu    闘    đấu tranh, chiến đấu
đẩu    斗    một đấu
đắc    得    đắc lợi, cầu bất đắc
đẳng    等    bình đẳng, đẳng cấp
đặc    特    đặc biệt, đặc công
đỉnh    頂    thiên đỉnh, đỉnh đầu
địa    地    thổ địa, địa đạo
định    定    thiết định, quyết định, định mệnh
đọa    堕    rơi xuống, xa đọa
đối    対    đối diện, phản đối, đối với
đới    帯    nhiệt đới, ôn đới
đức    徳    đạo đức
ương    央    trung ương
ước    約    lời hứa (ước nguyện), ước tính
ảnh    影    hình ảnh; nhiếp ảnh
ấn    印    in ấn, ấn tượng
ất    乙    can Ất
ấu    幼    ấu trĩ, thơ ấu
ẩm    飲    ẩm thực
ẩn    隠    ẩn giấu
ẩu    殴    ẩu đả
ổn    穏    yên ổn
ủy    委    ủy viên, ủy ban, ủy thác
ứng    応    đáp ứng, ứng đối, phản ứng
